Partner-Nr.;Anzahl;Post-Anrede;Post-Name1;Post-Name2;Post-Straße;Post-PLZ;Post-Ort;Druck-Anrede für HG/NG;Druck-HG-Name1;Druck-HG-Name2;Druck-HG-Straße;Druck-HG-PLZ;Druck-HG-Ort;Druck-HG-Tel.;Druck-NG-Name1;Druck-NG-Name2;Druck-NG-Straße;Druck-NG-PLZ;Druck-NG-Ort;Druck-NG-Tel.
5388800;100;Firma;Demasi,;Tiziana, Casa dei Fiori;Hauptstr. 11;65795;Hattersheim;Fleurop-Fachgeschäft:;Demasi,;Tiziana, Casa dei Fiori;Hauptstr. 11;65795;Hattersheim;06190-927 34 26;;;;;;
5534300;100;Firma;Polakowicz,;Niels, Blumen Frölich-green;Bechemer Str. 48;40878;Ratingen;Fleurop-Fachgeschäft:;Polakowicz,;Niels, Blumen Frölich-green;Bechemer Str. 48;40878;Ratingen;02102-15 45 76;;;;;;
21899100;100;Firma;Schneider,;Christel, Blumen Barck;Im Gässle 13;71229;Leonberg;Fleurop-Fachgeschäft:;Schneider,;Christel, Blumen Barck;Im Gässle 13;71229;Leonberg;07152-489 11;;;;;;
4414600;100;Firma;Knabe,;Björn, Bindekunst;Domstr. 10;23909;Ratzeburg;Fleurop-Fachgeschäft:;Knabe,;Björn, Bindekunst;Domstr. 10;23909;Ratzeburg;04541-802 66 80;;;;;;
5387700;100;Firma;Semmelroch,;Otto, Gartenbaubetriebe & Floristik;Reuther Straße;96272;Hochstadt;Fleurop-Fachgeschäft:;Semmelroch,;Otto, Gartenbaubetriebe & Floristik;Reuther Straße;96272;Hochstadt;09574-94 35;Semmelroch,;Otto, Gartenbaubetriebe & Floristik;Kulmbacher Str. 74;96224;Burgkunstadt;09572-609 40 40
22401800;100;Firma;Richter,;Katja;Hauptstr. 35;7950;Zeulenroda-Triebes-Triebes;Fleurop-Fachgeschäft:;Richter,;Katja;Hauptstr. 35;7950;Zeulenroda-Triebes-Triebes;036622-780 87;;;;;;
5525200;100;Firma;Puppe,;Yvonne, Stein Blume;Brauerstr. 2;66663;Merzig;Fleurop-Fachgeschäft:;Puppe,;Yvonne, Stein Blume;Brauerstr. 2;66663;Merzig;06861-912 39 33;;;;;;
5530900;100;Firma;Bleker,;Mareen, Stilvoll;Vennekenweg 29;46348;Raesfeld;Fleurop-Fachgeschäft:;Bleker,;Mareen, Stilvoll;Vennekenweg 29;46348;Raesfeld;02865-298 99 31;;;;;;
4885300;100;Firma;Nertinger,;Melanie, Melly's Blumenzauber;Ludwigstr. 5;82256;Fürstenfeldbruck;Fleurop-Fachgeschäft:;Nertinger,;Melanie, Melly's Blumenzauber;Ludwigstr. 5;82256;Fürstenfeldbruck;08141-527 16 11;;;;;;
5303100;100;Firma;Maier,;Ulla, Ulla's Blumenlädle;Stuttgarter Str. 30;72622;Nürtingen;Fleurop-Fachgeschäft:;Maier,;Ulla, Ulla's Blumenlädle;Stuttgarter Str. 30;72622;Nürtingen;07022-25 18 81;;;;;;
5353500;100;Firma;Kühne,;Torsten, Genthiner Gartenbau;Jerichower Str. 50;39307;Genthin;Fleurop-Fachgeschäft:;Kühne,;Torsten, Genthiner Gartenbau;Jerichower Str. 50;39307;Genthin;03933-82 24 40;;;;;;
5377400;100;Firma;Sachsenland Floristik GmbH, Blumenhaus Schulze;;Badstr. 30;01454;Radeberg;Fleurop-Fachgeschäft:;Sachsenland Floristik GmbH, Blumenhaus Schulze;;Badstr. 30;01454;Radeberg;03528-44 21 06;;;;;;
5533200;100;Firma;Wasin,;Leonie, Blumen Langenfurth;Hochstr. 36;47918;Tönisvorst;Fleurop-Fachgeschäft:;Wasin,;Leonie, Blumen Langenfurth;Hochstr. 36;47918;Tönisvorst;02151-79 55 78;;;;;;
22230400;100;Firma;Grafe,;Iris, Blumeneck;Liebenwerdaer Str. 32;04895;Falkenberg;Fleurop-Fachgeschäft:;Grafe,;Iris, Blumeneck;Liebenwerdaer Str. 32;04895;Falkenberg;035365-314 48;;;;;;
25750400;100;Firma;Tiedemann,;Heidi, Heidi's Blumendiele;Lange Str. 108;19230;Hagenow;Fleurop-Fachgeschäft:;Tiedemann,;Heidi, Heidi's Blumendiele;Lange Str. 108;19230;Hagenow;03883-72 83 90;;;;;;
3726500;100;Firma;Borgas,;Rudolf, Erlebnisgärtnerei Borgas;Brelinger Str. 11;30900;Wedemark-Mellendorf;Fleurop-Fachgeschäft:;Borgas,;Rudolf, Erlebnisgärtnerei Borgas;Brelinger Str. 11;30900;Wedemark-Mellendorf;05130-30 11;;;;;;
4756400;100;Firma;Life-Style Floristik mit Herz UG;Blumenladen Hirtenstraße;Hirtenstr. 9;19230;Hagenow;Fleurop-Fachgeschäft:;Life-Style Floristik mit Herz UG;Blumenladen Hirtenstraße;Hirtenstr. 9;19230;Hagenow;03883-72 10 72;;;;;;
22235300;100;Firma;Zelmer,;Mandy, Blumenhaus Sondershausen;Brückental 2;99706;Sondershausen;Fleurop-Fachgeschäft:;Zelmer,;Mandy, Blumenhaus Sondershausen;Brückental 2;99706;Sondershausen;03632-78 84 45;;;;;;
22550400;100;Firma;Baran,;Johann, Fruchthaus-Bartl-Blumen;Sauerlacher Str. 27;82515;Wolfratshausen;Fleurop-Fachgeschäft:;Baran,;Johann, Fruchthaus-Bartl-Blumen;Sauerlacher Str. 27;82515;Wolfratshausen;08171-181 71;;;;;;
24627100;100;Firma;Seeger,;Waltraud, Blumenhaus Seeger;Kemnitzer Str. 101;14542;Werder;Fleurop-Fachgeschäft:;Seeger,;Waltraud, Blumenhaus Seeger;Kemnitzer Str. 101;14542;Werder;03327-431 08;;;;;;
4891200;100;Firma;Buhl,;Denise, Blumenhaus Wildgruber;St.-Anna-Str. 17;80538;München;Fleurop-Fachgeschäft:;Buhl,;Denise, Blumenhaus Wildgruber;St.-Anna-Str. 17;80538;München;089-22 31 52;;;;;;
5232600;100;Firma;Niehüser,;Lydia, Blumen & Wohnen Lydia Niehüser;Hartmannstr. 104;46145;Oberhausen;Fleurop-Fachgeschäft:;Niehüser,;Lydia, Blumen & Wohnen Lydia Niehüser;Hartmannstr. 104;46145;Oberhausen;0208-6257 41 50;;;;;;
5258800;100;Firma;Hoffmeister,;Anne & Claudia Winter, WinterBlume GbR;Tannenweg 97;35440;Linden;Fleurop-Fachgeschäft:;Hoffmeister,;Anne & Claudia Winter, WinterBlume GbR;Tannenweg 97;35440;Linden;06403-609 90 03;;;;;;
5260300;100;Firma;Schlereth,;Christoph, Gärtnerei Paul Schlereth;Bahnhofstr. 69;97762;Hammelburg;Fleurop-Fachgeschäft:;Schlereth,;Christoph, Gärtnerei Paul Schlereth;Bahnhofstr. 69;97762;Hammelburg;09732-22 88;;;;;;
5292300;100;Firma;Höfling,;Thomas, Bella Fiora;Steinslieth 1;37130;Gleichen-Klein Lengden;Fleurop-Fachgeschäft:;Höfling,;Thomas, Bella Fiora;Steinslieth 1;37130;Gleichen-Klein Lengden;05508-92 36 25;;;;;;
5297800;100;Firma;Langemann,;Marianne, Blumenboutique Warmbold;Berliner Str. 52;38226;Salzgitter;Fleurop-Fachgeschäft:;Langemann,;Marianne, Blumenboutique Warmbold;Berliner Str. 52;38226;Salzgitter;05341-157 77;;;;;;
5298900;100;Firma;Schnürer,;Nina, Nina's Blumen-Design;Hauptstr. 10;76709;Kronau;Fleurop-Fachgeschäft:;Schnürer,;Nina, Nina's Blumen-Design;Hauptstr. 10;76709;Kronau;07253-95 78 54;;;;;;
5318900;100;Firma;Walter,;Michaela, Blumenhaus Walter;Kisselnallee 2;13589;Berlin;Fleurop-Fachgeschäft:;Walter,;Michaela, Blumenhaus Walter;Kisselnallee 2;13589;Berlin;030-3675 37 88;;;;;;
5345400;100;Firma;Salden,;Ben, Blumen Art Design;Webergasse 17;96450;Coburg;Fleurop-Fachgeschäft:;Salden,;Ben, Blumen Art Design;Webergasse 17;96450;Coburg;09561-922 08;;;;;;
5507800;100;Firma;Grieger,;Maik, Blumen und Kunst;Bahnhofstr. 41;71272;Renningen;Fleurop-Fachgeschäft:;Grieger,;Maik, Blumen und Kunst;Bahnhofstr. 41;71272;Renningen;07159-404 18 98;;;;;;
